Gene	Source
SSTP_0000074700	WBPS18
SSTP_0000114550	WBPS18
SSTP_0000165100	WBPS18
SSTP_0000775800	WBPS18
SSTP_0000803700	WBPS18
SSTP_0000591500	WBPS18
SSTP_0001198100	WBPS18
SSTP_0001235600	WBPS18
SSTP_0000670900	WBPS18
SSTP_0000671000	WBPS18
SSTP_0000677900	WBPS18
SSTP_0001124500	WBPS18
SSTP_0001109500	WBPS18
SSTP_0001109900	WBPS18
SSTP_0001110000	WBPS18
SSTP_0000947600	WBPS18
SSTP_0000700700	WBPS18
SSTP_0001040000	WBPS18
SSTP_0001040050	WBPS18
SSTP_0001257200	WBPS18
SSTP_0001260400	WBPS18
SSTP_0001272100	WBPS18
SSTP_0000334900	WBPS18
SSTP_0001213900	WBPS18
SSTP_0000290400	WBPS18
SSTP_0000833710	WBPS18
SSTP_0000446600	WBPS18
SSTP_0000539100	WBPS18
SSTP_0000004800	WBPS18
SSTP_0000261700	WBPS18
SSTP_0000458900	WBPS18
SSTP_0000067100	WBPS18
SSTP_0000962300	WBPS18
SSTP_0000962400	WBPS18
SSTP_0000644800	WBPS18
SSTP_0000827000	WBPS18
SSTP_0000664800	WBPS18
SSTP_0001144800	WBPS18
SSTP_0000454000	WBPS18
SSTP_0000944200	WBPS18
SSTP_0000944300	WBPS18
SSTP_0000277300	WBPS18
SSTP_0001149800	WBPS18
SSTP_0001149900	WBPS18
SSTP_0001039100	WBPS18
SSTP_0000453500	WBPS18
SSTP_0000520600	WBPS18
SSTP_0001283100	WBPS18
SSTP_0000465625	WBPS18
SSTP_0000007200	WBPS18
SSTP_0001132800	WBPS18
SSTP_0001133000	WBPS18
SSTP_0000708000	WBPS18
SSTP_0001269600	WBPS18
SSTP_0000000200	WBPS18
SSTP_0000664500	WBPS18
SSTP_0000884500	WBPS18
SSTP_0000884600	WBPS18
SSTP_0000290000	WBPS18
SSTP_0000827700	WBPS18
SSTP_0001053800	WBPS18
SSTP_0000649700	WBPS18
SSTP_0001128500	WBPS18
SSTP_0001128600	WBPS18
SSTP_0000710200	WBPS18
SSTP_0001151400	WBPS18
SSTP_0000006700	WBPS18
SSTP_0000984500	WBPS18
SSTP_0001144700	WBPS18
SSTP_0000679800	WBPS18
SSTP_0000465500	WBPS18
SSTP_0000458700	WBPS18
SSTP_0001148900	WBPS18
SSTP_0000636100	WBPS18
SSTP_0000006500	WBPS18
SSTP_0000812000	WBPS18
SSTP_0000708200	WBPS18
SSTP_0001073100	WBPS18
SSTP_0000019300	WBPS18
SSTP_0000452800	WBPS18
SSTP_0001227100	WBPS18
SSTP_0000698900	WBPS18
SSTP_0000032500	WBPS18
SSTP_0000832800	WBPS18
SSTP_0001133500	WBPS18
SSTP_0000421400	WBPS18
SSTP_0000290200	WBPS18
SSTP_0001133900	WBPS18
SSTP_0000006900	WBPS18
SSTP_0000508900	WBPS18
SSTP_0001020500	WBPS18
SSTP_0000538900	WBPS18
SSTP_0000278600	WBPS18
SSTP_0000437900	WBPS18
SSTP_0000535800	WBPS18
SSTP_0000452700	WBPS18
SSTP_0000708100	WBPS18
SSTP_0000288700	WBPS18
SSTP_0000633100	WBPS18
SSTP_0001150300	WBPS18
SSTP_0001148200	WBPS18
SSTP_0001133700	WBPS18
SSTP_0000000400	WBPS18
SSTP_0001020400	WBPS18
SSTP_0000455600	WBPS18
SSTP_0001076300	WBPS18
SSTP_0000943900	WBPS18
SSTP_0000868500	WBPS18
SSTP_0000984200	WBPS18
SSTP_0000984300	WBPS18
